Name	Address	Phone	County	Gender	Beds	Chapter
Park	936 Holiday Dr. , Lawrence, KS 66049	(785) 424-7374	Douglas	WC	6	5
Park Place	1912 Oliver, Wichita, KS 67218	(316) 425-3759	Sedgwick	WC	11	8
Partridge	1968 E. Sheridan Bridge Ln., Olathe, KS 66062	(913) 839-8748	Johnson	W	7	15
Pawnee	2359 S. Terrace, Wichita, KS 67218	(316) 719-2482	Sedgwick	M	12	7
Peyton	1006 E. Willow Dr., Olathe, KS 66061	(913) 839-1734	Johnson	M	9	4
Pflumm	6451 Pflumm Rd., Shawnee, KS 66216	(913) 213-5065	Johnson	M	8	1
Phillips West	120 W. 20th Ave. , Hutchinson, KS 67501	(620) 259-5842	Reno	M	9	13
Phoenix	2507 Omaha St., Pittsburg, KS 66762	(620) 404-4162	Crawford	M	6	12
Pitkin	5627 Pitkin St., Kansas City , KS 66106	(913) 596-9768	Wyandotte	M	11	9
Polaris	2916 Walnut St. , Hays, KS 67601	(785) 621-4408	Ellis	M	9	16
Promise	2402 N. Halstead, Hutchinson, KS 67502	(620) 888-5654	Reno	M	9	13
Providence Manor	1717 SW Lincoln St., Topeka , KS 66604	(785) 730-2668	Shawnee	M	7	14
Purcell	2508 Purcells Mills Rd., Manhattan, KS 66502	(785) 320-7013	Riley	W	7	11
Quentin	260 N. Quentin St. , Wichita, KS 67208	(316) 260-3412	Sedgwick	M	8	3
Quivira	5919 Quivira Rd., Shawnee, KS 66216	(913) 322-1673	Johnson	WC	10	9
Richmond	1131 N. Richmond St. , Wichita, KS 67203	(316) 272-5789	Sedgwick	M	7	8
Ridge	6415 Goodman Dr., Merriam, KS 66202	(913) 948-9424	Johnson	M	7	15
Rita	2003 W. Rita St. , Wichita, KS 67213	(316) 972-9254	Sedgwick	W	8	7
Robin	1839 N. Robin Rd., Wichita, KS 67212	(316) 440-3610	Sedgwick	W	7	8
Ruben	2316 SW Indian Trail, Topeka, KS 66614	(785) 329-5976	Shawnee	M	6	14
Samoset	602 E. Centennial Dr., Pittsburg, KS 66762	(620) 404-4226	Crawford	M	8	12
Santa Fe	6312 Santa Fe Dr., Overland Park, KS 66202	(913) 322-0197	Johnson	M	6	1
Serenity Hills	9433 Knox Dr., Overland Park, KS 66212	(913) 948-5387	Johnson	W	8	1
Serenity Way	2815 Broadway St., Great Bend, KS 67530	(620) 603-6075	Barton	W	8	16
Shocker	604 E. Leslie Ave., Salina, KS 67401	(785) 404-6176	Saline	M	6	11
Shunga	5125 SW 26th Ter., Topeka, KS 66614	(785) 329-6355	Shawnee	M	8	2
Sky	1916 SW Warner Ct., Topeka, KS 66614	(785) 730-2048	Shawnee	M	7	14
Slater	8809 W. 118 St., Overland Park, KS 66210	(913) 428-0955	Johnson	M	8	10
Sophia	515 W. Beloit Ave. , Salina, KS 67401	(785) 404-2607	Saline	W	7	11
Stewart	10208 Switzer Rd., Overland Park, KS 66212	(913) 232-9813	Johnson	M	8	17
Sunset Hills	921 Holiday Dr. , Lawrence, KS 66049	(785) 424-7374	Douglas	WC	7	5
Sunvale	1413 E. Sunvale Ter., Olathe, KS 66062	(913) 839-1810	Johnson	W	9	4
Terrace	8012 W. 64th Terr., Merriam, KS 66202	(913) 400-3347	Johnson	M	9	17
Timber Creek	1904 E. 20th Ave, Winfield, KS 67156	(620) 301-1267	Cowley	M	8	18
Tomahawk	21 Tomahawk Rd. , Hutchinson, KS 67502	(620) 888-5220	Reno	W	9	13
Tree	903 W. Maple St. , Wichita, KS 67213	(316) 425-5304	Sedgwick	M	9	8
Trojan	823 W. 10th Ave, Topeka, KS 66612	(785) 260-3367	Shawnee	M	N/A	14
Tyler Road	402 S. Tyler Rd., Wichita, KS 67212	(316) 295-2724	Sedgwick	M	6	8
Village	7719 Mission Rd., Prairie Village, KS 66208	(913) 549-4764	Johnson	WC	8	10
Waco	1324 N. Topeka St. , Wichita, KS 67214	(316) 613-2957	Sedgwick	M	12	3
Walnut	115 S. Walnut St., Olathe, KS 66061	(913) 608-9727	Johnson	M	10	15
Warren	5608 Halsey St., Shawnee, KS 66216	(913) 766-6672	Johnson	M	8	10
Washburn	5401 SW 28th St., Topeka , KS 66614	(785) 288-3868	Shawnee	M	9	14
Webster	3305 Rockwood Dr., Hutchinson, KS 67502	(620) 259-4091	Reno	M	10	13
Wedgewood	1055 W. 31st St. N., 67204 Wichita, KS 67204	(316) 831-1103	Sedgwick	M	8	3
White House	15103 Reeds St., Overland Park, KS 66223	(913) 215-2250	Johnson	M	8	4
Wildcat	101 E. Moreland Ave. , Salina, KS 67401	(785) 404-2259	Saline	M	7	11
Willow Creek	2011 Andrews St, Winfield, KS 67156	(620) 301-1448	Cowley	M	7	18
Willow Park	804 SW Lindenwood Ave., Topeka , KS 66606	(785) 783-8024	Shawnee	W	7	2
Woodchuck	1706 N. Woodchuck St., Wichita, KS 67212	(316) 358-7974	Sedgwick	M	4	7
Wren	1005 SW 10th Ave., Topeka, KS 66603	(785) 246-6041	Shawnee	M	10	14
