Name	Address	Phone	County	Gender	Beds	Chapter	Re-entry
Caritas	9400 Hadley St, Overland Park, KS 66212	(816) 603-1172	Johnson	M	8	1	No
Centennial North	1712 W. 3rd St., Lawrence, KS 66044	(785) 424-7666	Douglas	M	7	5	No
Chaparral	1105 E. 27th St., Lawrence, KS 66046	(785) 856-0731	Douglas	M	10	5	No
Charis	2608 Highland Ave., Salina, KS 67401	(785) 404-1904	Saline	W	9	11	No
Chautauqua	149 N. Chautauqua St., Wichita, KS 67214	(316) 239-7671	Sedgwick	M	8	7	No
Clary	810 E Meadowbrook Rd, Iola, KS 66749	(620) 228-5503	Allen	W	7	12	
Clementine	806 Central Ave. , Dodge City, KS 67801	(620) 371-5709	Ford	W	8	6	Yes
Cloverleaf 2	6934 Russell St., Overland Park, KS 66204	(816) 603-0964	Johnson	M	7	17	No
College Grove	100 E. 15th St. , Hutchinson, KS 67501	(620) 259-6645	Reno	W	10	13	No
College Hill	2017 S. Chautauqua Ave. , Wichita, KS 67214	(316) 295-4585	Sedgwick	M	11	3	No
Cooper	1001 N. Cooper St., Olathe, KS 66061	(913) 768-0324	Johnson	M	8	4	No
Crossroads	1600 SW College Ave. , Topeka, KS 66604	(785) 783-3416	Shawnee	M	10	2	No
Dagny	607 N Maple St, McPherson, KS 67460	(620) 718-2017	Mcpherson	M	9	24	
Darnell	6422 Mullen Rd., Shawnee, KS 66216	(913) 544-1396	Johnson	W	9	1	No
Deliverance	1502 12th St. , Great Bend, KS 67530	(620) 282-5130	Barton	W	10	16	No
Dharma	778 Lake St. , Lawrence, KS 66044	(785) 856-0638	Douglas	W	8	5	No
Domus Partes	900 SW Clay St, Topeka, KS 66606	(785) 329-5480	Shawnee	M	8		
Duncan	3063 S. Bonn Ave., Wichita, KS 67217	(316) 260-1164	Sedgwick	W	7	3	No
Dunsworth	1333 N. Dunsworth Ave., Wichita, KS 67212	(316) 260-2364	Sedgwick	M	11	7	No
Encanta	1274 SW Garfield Ave, Topeka, KS 66604	(785) 329-5367	Shawnee	W	6		
Enlightenment	5512 SW 25th Terrace, Topeka, KS 66614	(785) 329-6275	Shawnee	M	8	19	No
Fairway	6601 W. 83rd St., Overland Park , KS 66204	(913) 549-3093	Johnson	M	7	9	No
Faith II	1411 SW Lincoln St. , Topeka, KS 66604	(785) 783-3983	Shawnee	W	7	14	No
Fort Hays	203 W. 34th St. , Hays, KS 67601	(785) 621-4825	Ellis	M	10	16	No
Forte Perfectus	915 SW Munson Ave. , Topeka , KS 66604	(785) 730-2537	Shawnee	WC	8	19	No
Forza	413 SW 4th St, Topeka, KS 66603	(785) 286-7242	Shawnee	M	6		
Freeman II	2827 N. 102nd St. , Kansas City , KS 66109	(913) 283-9581	Wyandotte	M	10	9	No
Friedberg	1626 N. Gentry Dr., Wichita, KS 67208	(316) 358-9669	Sedgwick	MC	7	8	No
Gallery	1036 N. Lincoln St., Olathe, KS 66061	(913) 839-8300	Johnson	WC	8	4	No
Gillette	8931 Gillette St., Lenexa, KS 66215	(913) 499-8276	Johnson	MC	9	10	No
Grace Haven	1418 N. Valleyview Ct., Wichita, KS 67212	(316) 440-4624	Sedgwick	WC	10	8	No
Grantioch	9100 W. 81st Ter., Overland Park, KS 66204	(913) 303-3359	Johnson	M	7	1	No
Gratitude Manor	1528 S. Hillside St. , Wichita, KS 67211	(316) 927-5701	Sedgwick	M	7	3	No
Griffin	115 W. Jefferson St. , Pittsburg, KS 66762	(620) 240-4599	Crawford	M	6	12	No
Gunsmoke	1611 N. 2nd Ave. , Dodge, KS 67801	(620) 225-7676	Ford	M	8	6	No
Halina	903 Manor Rd., Salina, KS 67401	(785) 404-4904	Saline	WC	9	11	No
Halo	1920 N. Crestline St. , Wichita, KS 67212	(316) 358-7283	Sedgwick	M	8	8	No
Halsey 2	6524 Craig St. , Merriam, KS 66202	(913) 232-9340	Johnson	M	12	10	No
Hardy	8218 Hardy St., Overland Park, KS 66204	(913) 322-0798	Johnson	M	9	17	No
Hastings	223 Curtis St., Hutchinson, KS 67502	(620) 888-5234	Reno	MC	9	13	No
Hazel	1811 N. Redbarn Ln., Wichita, KS 67212	(316) 977-9328	Sedgwick	W	7	7	No
Heilendes Brodir	521 E Hill St, McPherson, KS 67460	(620) 718-2198	Mcpherson	M	11	24	
Helmer	1308 SW College Ave, Topeka, KS 66604	(785) 408-1077	Shawnee	M	8		
Hemingway	9026 W 70th Terrace, Overland Park, KS 66204	(816) 514-8427	Johnson	M	6	1	
Hensonback	105 W. 30th, Hutchinson, KS 67501	(620) 259-5919	Reno	WC	12	13	No
Heritage II	9130 Switzer St., Overland Park, KS 66214	(913) 322-9095	Johnson	WC	8	17	No
Highland Crest	1130 SE 35th Ter., Topeka, KS 66608	(785) 246-6460	Shawnee	M	7	19	No
Holliday	1005 1st Ave. , Dodge, KS 67801	(620) 371-5631	Ford	M	8	6	No
Hope Central	2201 Polk St., Great Bend, KS 67530	(620) 603-8911	Barton	M	10	16	No
Ichabod	1360 SW Garfield Ave. , Topeka , KS 66604	(785) 329-5067	Shawnee	M	10	2	No
Iliad	2404 S. Homer St. , Pittsburg, KS 66762	(620) 404-4746	Crawford	M	9	12	No
Indian Hill	2629 Missouri St, Lawrence, KS 66046	(785) 856-1024	Douglas	W	7	5	
Infinity	2552 W. 21st St. , Wichita, KS 67203	(316) 201-6865	Sedgwick	W	7	7	No
Iris	1009 Connecticut St., Lawrence, KS 66046	(785) 424-7979	Douglas	W	7	5	No
Ivy Rose	1252 SW Mulvane St., Topeka, KS 66604	(785) 408-1160	Shawnee	W	7	2	No
Jachin	201 W 11th Ave, Hutchinson, KS 67501	(620) 259-4038	Reno	M	10	13	
Jayhawk	509 E. Walnut Ave., Salina, KS 67401	(785) 404-2283	Saline	M	10	11	No
Jimmers	7 W. 19th Ave. , Hutchinson, KS 67502	(620) 888-5554	Reno	M	9	13	No
Johnson Drive	9800 Johnson Dr., Merriam, KS 66203	(913) 229-4816	Johnson	M	12	1	No
Jonah	1622 SW Webster Ave., Topeka, KS 66604	(785) 408-1061	Shawnee	M	6	2	No
Justus	1106 W 48th St S, Wichita, KS 67217	(316) 358-0215	Sedgwick	WC	11		No
Kaylani	1624 SW College Ave, Topeka, KS 66604	(785) 329-6619	Shawnee	WC	9		No
Kennedy	1333 E. 154th Ter., Olathe, KS 66062	(816) 603-0483	Johnson	MC	7	4	No
Kinkaid	3443 Kinkaid Ct., Wichita, KS 67218	(316) 719-3990	Sedgwick	WC	9	3	No
Kratos	2401 Lincoln Dr. , Hays, KS 67601	(785) 621-4889	Ellis	M	9	16	No
Lakestone	1206 E. Maywood St., Wichita, KS 67216	(316) 719-2084	Sedgwick	M	9	8	No
Lane	1730 SW Washburn Ave. , Topeka, KS 66606	(785) 783-8574	Shawnee	M	8	14	No
La'Rae	5814 Horton St, Mission, KS 66202	(913) 232-8177	Johnson	W	9	17	Yes
Larie	319 Irene St, Salina, KS 67401	(785) 515-2577	Saline	W	8	11	
Lawrence One	1620 W. 19th Ter. , Lawrence, KS 66046	(785) 842-1621	Douglas	M	8	5	No
Layton	10540 Bond St., Overland Park, KS 66214	(913) 912-1014	Johnson	M	7	4	No
Lazarus	602 W Euclid St, Pittsburg, KS 66762	(620) 670-6647	Crawford	MC	8	12	No
Leo	733 S. LeeAnne Cr. , Wichita , KS 67213	(316) 260-8826	Sedgwick	M	10	8	No
Libertas	3010 SW 16th St., Topeka, KS 66614	(785) 329-6425	Shawnee	M	8	19	No
Lighthouse 2	2024 SW Fairlawn Rd., Topeka, KS 66604	(785) 478-5614	Shawnee	WC	9	2	No
Lincoln	1817 S. Denene St. , Wichita, KS 67213	(316) 352-7186	Sedgwick	M	8	3	No
Louis	707 Hawthorne Ln., Newton, KS 67114	(316) 333-8234	Harvey	M	9	7	No
Mackey	8239 Mackey St., Overland Park, KS 66204	(913) 601-3829	Johnson	M	7	17	No
Magdalene	1601 N Elm St, Pittsburg, KS 66762	(620) 670-6871	Crawford	W	8	12	
Mahaffie	1931 E. Sheridan Bridge Ln. , Olathe, KS 66062	(913) 712-8507	Johnson	M	8	15	No
Maverick	5220 England St., Merriam, KS 66203	(913) 380-2553	Johnson	M	8	9	No
McPherson	620 E Euclid St, McPherson, KS 67460	(620) 718-2172	Mcpherson	M	11	24	
Medela	1240 SE 36th St, Topeka, KS 66605	(785) 329-5109	Shawnee	W	9		
Merriam	9216 Kessler St, Overland Park, KS 66212	(913) 213-5074	Johnson	W	9	4	No
Metanoia	1126 N. Lewellen St. , Wichita, KS 67203	(316) 358-9167	Sedgwick	W	9	3	No
Metcalf	6936 Metcalf AVE, Overland Park, KS 66204	(913) 601-4995	Johnson	M	8	10	No
Midnight	1913 Mac Arthur Rd, Hays, KS 67601	(816) 666-0947	Ellis	WC	8	20	
Midtown	1617 N. Park Pl., Wichita, KS 67203	(316) 977-8894	Sedgwick	M	8	3	No
Midwest	1006 9th Ave, Dodge City, KS 67801	(620) 253-7950	Ford	M	10	6	Yes
Mircle Mile	1007 W 27th St, Lawrence, KS 66046	(913) 608-1251	Douglas	M	9	5	
Miraki	1603 SW Webster Ave, Topeka, KS 66604		Shawnee	WC	8		
Mitera	303 N Walnut St, McPherson, KS 67460	(620) 718-2015	Mcpherson	WC	12	24	
Monarch	3205 N. Michigan St., Pittsburg, KS 66762	(620) 240-4652	Crawford	W	6	12	No
Monrovia	7508 Monrovia St., Lenexa, KS 66215	(913) 808-3705	Johnson	M	10	1	No
Mulvane	1279 SW Mulvane St, Topeka, KS 66604	(785) 217-6911	Shawnee	M	7		
Naismith	2637 Manor Terrace, Lawrence, KS 66046	(785) 856-0703	Douglas	M	11	5	
Neoma	1512 N 82nd Terrace, Kansas City, KS 66112	(913) 232-7438	Wyandotte	M	10	17	
Niam	1500 N. Main St. , Hutchinson, KS 67501	(620) 259-8151	Reno	M	14	13	No
Noah	720 S Main St, Ottawa, KS 66067	(785) 214-4398	Franklin	M	8	5	Yes
Normandy	156 N. Normandy St., Olathe, KS 66061	(913) 780-4909	Johnson	M	9	4	No
October	211 E 6th St, Hays, KS 67601	(785) 621-2254	Ellis	M	7	20	
Ol West	1103 Avenue B, Dodge City, KS 67801	(620) 801-5045	Ford	M	6	6	Yes
Olathe	7829 W. 97th St., Overland Park, KS 66212	(913) 257-5304	Johnson	M	8	15	No
Old Shawnee	6135 Lucille Ln., Shawnee, KS 66203	(913) 322-6031	Johnson	M	9	1	No
Orme	8215 E. Orme St. , Wichita, KS 67203	(316) 425-5748	Sedgwick	M	10	8	No
Paidia	640 Highland Ave, Salina, KS 67401	(785) 515-2474	Saline	MC	10	11	
Paishance	3216 SW Chelsea Dr, Topeka, KS 66614	(785) 329-6265	Shawnee	W	9		
Paladin	9120 W Harvest Ct, Wichita, KS 67212	(316) 389-9942	Sedgwick	W	10		
Parallel	8730 Parallel Pkwy. , Kansas City, KS 66106	(913) 217-7717	Wyandotte	M	10	9	No
Park	936 Holiday Dr. , Lawrence, KS 66049	(785) 856-1515	Douglas	WC	8	5	No
Park Place	1912 Oliver, Wichita, KS 67218	(316) 425-3759	Sedgwick	WC	11	8	No
Partridge	1968 E. Sheridan Bridge Ln., Olathe, KS 66062	(913) 839-3004	Johnson	W	7	15	No
Pawnee	2359 S. Terrace, Wichita, KS 67218	(316) 719-2482	Sedgwick	M	12	7	No
Peace	644 SW Webster Ave, Topeka, KS 66606	(785) 329-5996	Shawnee	W	7		
Persephone 2	418 W Ford St., Pittsburg, KS 66762	(620) 670-6627	Crawford	WC	9	12	No
Peyton	1006 E. Willow Dr., Olathe, KS 66061	(913) 839-8992	Johnson	M	7	4	No
Pflumm	6451 Pflumm Rd., Shawnee, KS 66216	(913) 213-5065	Johnson	M	8	1	No
Phillips West	120 W. 20th Ave. , Hutchinson, KS 67501	(620) 259-5842	Reno	M	9	13	No
Phoenix II	2507 Omaha St., Pittsburg, KS 66762	(620) 404-4162	Crawford	M	6	12	No
Pitkin	5627 Pitkin St., Kansas City , KS 66106	(913) 232-8237	Wyandotte	M	11	9	No
Polaris	2916 Walnut St. , Hays, KS 67601	(785) 621-4408	Ellis	M	9	16	No
Promise	2402 N. Halstead, Hutchinson, KS 67502	(620) 888-5654	Reno	M	9	13	No
Proverbs	205 SW Lindenwood Ave, Topeka, KS 66606	(785) 329-5081	Shawnee	W	8		
Providence Manor	1717 SW Lincoln St., Topeka , KS 66604	(785) 730-2668	Shawnee	M	7	14	No
Purcell	2508 Purcells Mills Rd., Manhattan, KS 66502	(785) 712-2839	Riley	W	7	11	No
Quentin	260 N. Quentin St. , Wichita, KS 67208	(316) 260-3412	Sedgwick	M	9	3	No
Quivira	5919 Quivira Rd., Shawnee, KS 66216	(913) 322-1673	Johnson	W	9	9	No
Radiant	608 E Kansas Ave, McPherson, KS 67460	(620) 718-2104	Mcpherson	M	8	24	
Rawhide	803 4th Ave, Dodge City, KS 67801	(620) 523-5008	Ford	M	7	6	No
Reborn	817 SW Lincoln St, Topeka, KS 66606	(785) 329-5601	Shawnee	M	11		
Rejoyce	1417 SW Western Ave, Topeka, KS 66604	(785) 329-5818	Shawnee	M	9		
Richmond	1131 N. Richmond St. , Wichita, KS 67203	(316) 272-5789	Sedgwick	M	7	8	No
Ridge	6415 Goodman Dr., Merriam, KS 66202	(913) 912-1070	Johnson	M	6	15	No
Rita	2003 W. Rita St. , Wichita, KS 67213	(316) 977-9254	Sedgwick	W	8	7	No
Robin	1839 N. Robin Rd., Wichita, KS 67212	(316) 440-3610	Sedgwick	W	7	8	No
Ruben	2316 SW Indian Trail, Topeka, KS 66614	(785) 329-5451	Shawnee	M	6	14	No
Ryzon	114 Downing Rd, Hutchinson, KS 67502	(620) 888-5200	Reno	M	11		
Salvation Creek 	411 N 4th St, Arkansas City, KS 67005	(620) 741-5037	Cowley	MC	10		No
Samoset	602 E. Centennial Dr., Pittsburg, KS 66762	(620) 670-6658	Crawford	M	7	12	No
Santa Fe	6312 Santa Fe Dr., Overland Park, KS 66202	(913) 322-0197	Johnson	M	10	1	No
Serenity Hills	9433 Knox Dr., Overland Park, KS 66212	(913) 948-5387	Johnson	W	8	1	No
Serenity Way	2815 Broadway St., Great Bend, KS 67530	(620) 603-6075	Barton	W	10	16	No
Shocker	604 E. Leslie Ave., Salina, KS 67401	(785) 404-6176	Saline	M	8	11	No
Shunga	5125 SW 26th Ter., Topeka, KS 66614	(785) 329-6335	Shawnee	M	8	2	No
Sky	1916 SW Warner Ct., Topeka, KS 66614	(785) 730-2048	Shawnee	M	7	14	No
Slater	8809 W. 118 St., Overland Park, KS 66210	(913) 428-0955	Johnson	M	8	10	No
Sophia	515 W. Beloit Ave. , Salina, KS 67401	(785) 404-2607	Saline	W	7	11	No
Stewart 2	10208 Switzer Rd., Overland Park, KS 66212	(913) 230-9813	Johnson	M	8	17	No
Stone	3100 SW Stone Ave, Topeka, KS 66614	(785) 329-5427	Shawnee	M	9		
Sunset Hills	921 Holiday Dr. , Lawrence, KS 66049	(785) 424-7374	Douglas	WC	7	5	No
Sunvale	1413 E. Sunvale Ter., Olathe, KS 66062	(913) 839-1810	Johnson	W	9	4	No
Terrace	8012 W. 64th Terr., Merriam, KS 66202	(913) 400-3347	Johnson	M	9	17	No
Tharros	2251 S Ohio St, Salina, KS 67401	(785) 515-2066	Saline	M	10	11	
Timber Creek	1904 E. 20th Ave, Winfield, KS 67156	(620) 705-4044	Cowley	M	10	18	No
Tomahawk	21 Tomahawk Rd. , Hutchinson, KS 67502	(620) 888-5220	Reno	W	9	13	No
Tree	903 W. Maple St. , Wichita, KS 67213	(316) 425-5304	Sedgwick	M	10	8	No
Trojan	823 W. 10th Ave, Topeka, KS 66612	(785) 215-6970	Shawnee	M	12	14	No
Tyler Road	402 S. Tyler Rd., Wichita, KS 67212	(316) 295-2724	Sedgwick	M	8	8	No
Validus	1266 SW Tyler St, Topeka, KS 66612	(785) 329-5283	Shawnee	M	15		No
Vermillion	816 E Layton Dr, Olathe, KS 66061	(913) 839-8744	Johnson	M	9	4	Yes
Village	7719 Mission Rd., Prairie Village, KS 66208	(913) 242-7591	Johnson	W	8	10	No
Waco	1324 N. Topeka St. , Wichita, KS 67214	(316) 613-2957	Sedgwick	M	12	3	No
Warren	5608 Halsey St., Shawnee, KS 66216	(913) 766-6672	Johnson	M	7	10	No
Webster	3305 Rockwood Dr., Hutchinson, KS 67502	(620) 662-2850	Reno	M	9	13	No
Wedgewood	1055 W. 31st St. N., 67204 Wichita, KS 67204	(316) 831-1103	Sedgwick	M	8	3	No
White House	15103 Reeds St., Overland Park, KS 66223	(913) 214-2250	Johnson	M	8	4	No
Wildcat	101 E. Moreland Ave. , Salina, KS 67401	(785) 502-5016	Saline	M	7	11	No
Willow Creek II	2011 Andrews St, Winfield, KS 67156	(620) 301-1448	Cowley	M	7	18	No
Willow Park	804 SW Lindenwood Ave., Topeka , KS 66606	(785) 329-5835	Shawnee	W	7	2	No
Winterbrook	2512 Morningside Ct, Lawrence, KS 66047	(785) 424-7016	Douglas	M	7	5	Yes
Wokini	1748 S Ellis St, Wichita, KS 67211	(316) 358-9245	Sedgwick	M	8		Yes
Woodchuck	1706 N. Woodchuck St., Wichita, KS 67212	(316) 358-7974	Sedgwick	M	7	7	No
Wren	1005 SW 10th Ave., Topeka, KS 66603	(785) 246-6041	Shawnee	M	9	14	No
Zotikos	2156 Griffith Terrace, Manhattan, KS 66502	(785) 320-2338	Riley	M	8	11	No
